,Seller,Laptop_URL,Laptop_name,Weight,Display,Operating_system,PRICE
0,N/A,https://www.digit.in/laptops/alienware-area-51m-r2-price-228193.html,ALIENWARE AREA 51M R2,4.1,"17.3"" (1920 X 1080)",WINDOWS 10 HOME,N/A
1,N/A,https://www.digit.in/laptops/alienware-m15-r3-price-228207.html,ALIENWARE M15 R3,NA,"15.6"" (3840 X 2160)",WINDOWS 10 HOME,₹341990
2,N/A,https://www.digit.in/laptops/asus-rog-strix-scar-15-price-228221.html,ASUS ROG STRIX SCAR 15,2.30,"15.6"" (1920 X 1080)",WINDOWS 10 HOME,N/A
3,amazon,https://www.digit.in/laptops/asus-rog-zephyrus-g14-price-209173.html,ASUS ROG ZEPHYRUS G14,1.65,"14"" (1920 X 1080)",WINDOWS 10 HOME,₹164990
4,N/A,https://www.digit.in/laptops/lenovo-legion-5i-price-228235.html,LENOVO LEGION 5I,2.3,"15.6"" (1920 X 1080)",WINDOWS 10 PRO,₹71990
5,amazon,https://www.digit.in/laptops/asus-rog-zephyrus-duo-15-price-215799.html,ASUS ROG ZEPHYRUS DUO 15,2.4,"15.6"" (3840 X 1100)",WINDOWS 10,₹173800
6,N/A,https://www.digit.in/laptops/acer-aspire-7-gaming-price-223781.html,ACER ASPIRE 7 GAMING,2.15,Display,WINDOWS 10 HOME,₹56990
